date,year,month,day,hour,d1,d2
2014-01-01,2014,1,1,0,12,6
2014-01-01,2014,1,1,1,3,3
2014-01-01,2014,1,1,2,3,0
2014-01-01,2014,1,1,3,2,2
2014-01-01,2014,1,1,4,2,3
2014-01-01,2014,1,1,5,0,0
2014-01-01,2014,1,1,6,0,2
2014-01-01,2014,1,1,7,4,2
2014-01-01,2014,1,1,8,2,0
2014-01-01,2014,1,1,9,2,3
2014-01-01,2014,1,1,10,16,0
2014-01-01,2014,1,1,11,7,9
2014-01-01,2014,1,1,13,12,18
2014-01-01,2014,1,1,14,12,19
2014-01-01,2014,1,1,15,13,28
2014-01-01,2014,1,1,16,8,29
2014-01-01,2014,1,1,17,13,17
2014-01-01,2014,1,1,18,5,15
2014-01-01,2014,1,1,19,3,12
2014-01-01,2014,1,1,20,10,17
2014-01-01,2014,1,1,21,9,8
2014-01-01,2014,1,1,22,4,6
2014-01-01,2014,1,1,23,6,8
2014-01-01,2014,1,1,24,21,8
2014-01-02,2014,1,2,0,0,2
2014-01-02,2014,1,2,1,0,0
2014-01-02,2014,1,2,2,0,1
2014-01-02,2014,1,2,3,0,0
2014-01-02,2014,1,2,4,3,1
2014-01-02,2014,1,2,5,0,0
2014-01-02,2014,1,2,6,0,1
2014-01-02,2014,1,2,7,0,2
2014-01-02,2014,1,2,8,7,4
2014-01-02,2014,1,2,9,10,13
2014-01-02,2014,1,2,10,10,20
2014-01-02,2014,1,2,11,28,15
2014-01-02,2014,1,2,13,39,40
2014-01-02,2014,1,2,14,36,28
2014-01-02,2014,1,2,15,12,20
2014-01-02,2014,1,2,16,23,24
2014-01-02,2014,1,2,17,18,15
2014-01-02,2014,1,2,18,16,14
2014-01-02,2014,1,2,19,16,12
2014-01-02,2014,1,2,20,3,16
2014-01-02,2014,1,2,21,8,16
2014-01-02,2014,1,2,22,14,1
2014-01-02,2014,1,2,23,3,2
2014-01-02,2014,1,2,24,35,20
2014-01-03,2014,1,3,0,3,5
2014-01-03,2014,1,3,1,0,4
2014-01-03,2014,1,3,2,2,2
2014-01-03,2014,1,3,3,0,0
2014-01-03,2014,1,3,4,4,2
2014-01-03,2014,1,3,5,0,0
2014-01-03,2014,1,3,6,0,2
2014-01-03,2014,1,3,7,4,5
2014-01-03,2014,1,3,8,7,6
2014-01-03,2014,1,3,9,9,20
2014-01-03,2014,1,3,10,24,11
2014-01-03,2014,1,3,11,41,29
2014-01-03,2014,1,3,13,27,38
2014-01-03,2014,1,3,14,21,26
2014-01-03,2014,1,3,15,25,20
2014-01-03,2014,1,3,16,31,18
2014-01-03,2014,1,3,17,6,15
2014-01-03,2014,1,3,18,16,27
2014-01-03,2014,1,3,19,18,24
2014-01-03,2014,1,3,20,2,9
2014-01-03,2014,1,3,21,10,9
2014-01-03,2014,1,3,22,3,3
2014-01-03,2014,1,3,23,1,4
2014-01-03,2014,1,3,24,42,49
2014-01-04,2014,1,4,0,2,2
2014-01-04,2014,1,4,1,5,2
2014-01-04,2014,1,4,2,2,0
2014-01-04,2014,1,4,3,0,1
2014-01-04,2014,1,4,4,0,1
2014-01-04,2014,1,4,5,2,3
2014-01-04,2014,1,4,6,4,9
2014-01-04,2014,1,4,7,4,25
2014-01-04,2014,1,4,8,34,21
2014-01-04,2014,1,4,9,24,31
2014-01-04,2014,1,4,10,19,22
2014-01-04,2014,1,4,11,20,17
2014-01-04,2014,1,4,13,31,32
2014-01-04,2014,1,4,14,15,14
2014-01-04,2014,1,4,15,9,13
2014-01-04,2014,1,4,16,28,30
2014-01-04,2014,1,4,17,30,27
2014-01-04,2014,1,4,18,20,36
2014-01-04,2014,1,4,19,14,21
2014-01-04,2014,1,4,20,12,23
2014-01-04,2014,1,4,21,2,12
2014-01-04,2014,1,4,22,6,5
2014-01-04,2014,1,4,23,1,1
2014-01-04,2014,1,4,24,20,24
2014-01-05,2014,1,5,0,0,2
2014-01-05,2014,1,5,1,0,0
2014-01-05,2014,1,5,2,1,0
2014-01-05,2014,1,5,3,1,0
2014-01-05,2014,1,5,4,0,0
2014-01-05,2014,1,5,5,2,5
2014-01-05,2014,1,5,6,6,20
2014-01-05,2014,1,5,7,15,27
2014-01-05,2014,1,5,8,14,37
2014-01-05,2014,1,5,9,10,24
2014-01-05,2014,1,5,10,23,11
2014-01-05,2014,1,5,11,32,24
2014-01-05,2014,1,5,13,17,8
2014-01-05,2014,1,5,14,10,25
2014-01-05,2014,1,5,15,23,31
2014-01-05,2014,1,5,16,20,25
2014-01-05,2014,1,5,17,29,27
2014-01-05,2014,1,5,18,17,25
2014-01-05,2014,1,5,19,11,19
2014-01-05,2014,1,5,20,8,18
2014-01-05,2014,1,5,21,8,17
2014-01-05,2014,1,5,22,3,8
2014-01-05,2014,1,5,23,3,5
2014-01-05,2014,1,5,24,20,18
2014-01-06,2014,1,6,0,1,3
2014-01-06,2014,1,6,1,1,2
2014-01-06,2014,1,6,2,0,2
2014-01-06,2014,1,6,3,0,4
2014-01-06,2014,1,6,4,0,2
2014-01-06,2014,1,6,5,0,2
2014-01-06,2014,1,6,6,0,0
2014-01-06,2014,1,6,7,1,1
2014-01-06,2014,1,6,8,4,7
2014-01-06,2014,1,6,9,12,5
2014-01-06,2014,1,6,10,13,17
2014-01-06,2014,1,6,11,35,29
2014-01-06,2014,1,6,13,32,34
2014-01-06,2014,1,6,14,35,47
2014-01-06,2014,1,6,15,21,20
2014-01-06,2014,1,6,16,26,46
2014-01-06,2014,1,6,17,19,40
2014-01-06,2014,1,6,18,18,19
2014-01-06,2014,1,6,19,12,23
2014-01-06,2014,1,6,20,11,20
2014-01-06,2014,1,6,21,4,16
2014-01-06,2014,1,6,22,1,4
2014-01-06,2014,1,6,23,0,2
2014-01-06,2014,1,6,24,30,46
2014-01-07,2014,1,7,0,1,0
2014-01-07,2014,1,7,1,1,2
2014-01-07,2014,1,7,2,0,0
2014-01-07,2014,1,7,3,0,2
2014-01-07,2014,1,7,4,0,0
2014-01-07,2014,1,7,5,1,2
2014-01-07,2014,1,7,6,4,4
2014-01-07,2014,1,7,7,7,17
2014-01-07,2014,1,7,8,7,41
2014-01-07,2014,1,7,9,11,28
2014-01-07,2014,1,7,10,19,33
2014-01-07,2014,1,7,11,16,36
2014-01-07,2014,1,7,13,12,35
2014-01-07,2014,1,7,14,8,34
2014-01-07,2014,1,7,15,20,25
2014-01-07,2014,1,7,16,9,49
2014-01-07,2014,1,7,17,10,36
2014-01-07,2014,1,7,18,17,41
2014-01-07,2014,1,7,19,17,31
2014-01-07,2014,1,7,20,10,24
2014-01-07,2014,1,7,21,8,18
2014-01-07,2014,1,7,22,5,4
2014-01-07,2014,1,7,23,1,9
2014-01-07,2014,1,7,24,17,36
2014-01-08,2014,1,8,0,0,8
2014-01-08,2014,1,8,1,1,3
2014-01-08,2014,1,8,2,0,0
2014-01-08,2014,1,8,3,0,0
2014-01-08,2014,1,8,4,0,0
2014-01-08,2014,1,8,5,1,0
2014-01-08,2014,1,8,6,4,7
2014-01-08,2014,1,8,7,3,23
2014-01-08,2014,1,8,8,10,17
2014-01-08,2014,1,8,9,4,10
2014-01-08,2014,1,8,10,21,33
2014-01-08,2014,1,8,11,17,37
2014-01-08,2014,1,8,13,8,15
2014-01-08,2014,1,8,14,14,19
2014-01-08,2014,1,8,15,18,32
2014-01-08,2014,1,8,16,22,13
2014-01-08,2014,1,8,17,23,31
2014-01-08,2014,1,8,18,23,26
2014-01-08,2014,1,8,19,10,16
2014-01-08,2014,1,8,20,12,13
2014-01-08,2014,1,8,21,10,19
2014-01-08,2014,1,8,22,1,7
2014-01-08,2014,1,8,23,2,12
2014-01-08,2014,1,8,24,13,30
2014-01-09,2014,1,9,0,0,3
2014-01-09,2014,1,9,1,2,1
2014-01-09,2014,1,9,2,0,6
2014-01-09,2014,1,9,3,0,1
2014-01-09,2014,1,9,4,0,0
2014-01-09,2014,1,9,5,2,6
2014-01-09,2014,1,9,6,0,3
2014-01-09,2014,1,9,7,4,5
2014-01-09,2014,1,9,8,3,2
2014-01-09,2014,1,9,9,8,6
2014-01-09,2014,1,9,10,21,21
2014-01-09,2014,1,9,11,14,25
2014-01-09,2014,1,9,13,16,31
2014-01-09,2014,1,9,14,16,33
2014-01-09,2014,1,9,15,25,26
2014-01-09,2014,1,9,16,32,36
2014-01-09,2014,1,9,17,11,26
2014-01-09,2014,1,9,18,11,24
2014-01-09,2014,1,9,19,15,11
2014-01-09,2014,1,9,20,7,8
2014-01-09,2014,1,9,21,4,8
2014-01-09,2014,1,9,22,2,6
2014-01-09,2014,1,9,23,0,1
2014-01-09,2014,1,9,24,8,32
2014-01-10,2014,1,10,0,1,1
2014-01-10,2014,1,10,1,0,0
2014-01-10,2014,1,10,2,0,0
2014-01-10,2014,1,10,3,0,0
2014-01-10,2014,1,10,4,0,0
2014-01-10,2014,1,10,5,1,2
2014-01-10,2014,1,10,6,3,12
2014-01-10,2014,1,10,7,9,32
2014-01-10,2014,1,10,8,18,32
2014-01-10,2014,1,10,9,5,23
2014-01-10,2014,1,10,10,8,20
2014-01-10,2014,1,10,11,7,35
